
CLSA3;CLEAR SALE S.A.;3,99;3,81;-0,15;-;;-26,74;1,05
CLSC3;CELESC;59,99;82,64;14,82;4,94;3,3927;4,05;0,73
CLSC4;CELESC;61,31;82,64;14,82;5,29;3,7319;4,16;0,75
CMIN3;CSN MINERAÇÃO S.A.;6,92;2,09;0,56;6,77;0,9051;12,21;3,29
CMSA3;CIMS S.A.;0,00;0,00;0,00;-;;0,00;0,00
CMSA4;CIMS S.A.;0,00;0,00;0,00;-;;0,00;0,00
COCE3;COELCE;50,01;54,49;7,05;0,62;1,9435;7,10;0,92
COCE5;COELCE;43,10;54,49;7,05;0,72;1,9435;6,08;0,79
COGN3;COGNA ON;3,00;6,44;-0,16;-;0,0000;-18,83;0,47
COCE6;COELCE;19,17;54,49;7,05;1,61;1,9435;2,72;0,35
CORR4;CORREA RIBEIRO;82,00;201,49;317,06;91,30;0,0000;0,26;0,41
CORR3;CORREA RIBEIRO;2,71;201,49;317,06;2.762,62;0,0000;0,01;0,01
CPLE3;COPEL;8,74;7,80;0,67;7,29;0,4712;13,04;1,12
CPFE3;CPFL ENERGIA;36,50;15,77;4,66;7,95;3,2423;7,79;2,30
CPLE6;COPEL;9,30;7,80;0,67;7,51;0,5183;13,94;1,20
CPLE5;COPEL;24,14;7,80;0,67;3,25;0,5183;35,98;3,10
CRFB3;ATACADÃO;10,67;9,38;0,36;2,07;0,2735;29,26;1,14
CRIV3;FINANCEIRA ALFA;5,75;10,35;0,27;-;0,0251;21,37;0,56
CRIV4;FINANCEIRA ALFA;5,61;10,35;0,27;4,22;0,4615;20,85;0,54
CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.;37,79;23,88;2,29;25,75;0,3787;16,30;1,57
CRPG3;TRONOX PIGMENTOS DO BRASIL S.A.;44,50;23,88;2,29;21,63;0,3787;19,41;1,86
CRPG6;TRONOX PIGMENTOS DO BRASIL S.A.;37,93;23,88;2,29;25,37;0,3787;16,54;1,59
CSAB3;CIA SEGUROS ALIANÇA DA BAHIA;34,00;27,56;2,46;1,77;1,0181;13,81;1,23
CSAB4;CIA SEGUROS ALIANÇA DA BAHIA;45,00;27,56;2,46;1,47;1,1200;18,27;1,63
CSED3;CRUZEIRO DO SUL EDUCACIONAL S.A.;3,98;3,95;0,21;1,73;0,1310;18,59;1,01
CSAN3;COSAN;17,95;9,86;-0,25;2,39;0,4281;-72,64;1,82
CSRN5;COSERN;28,00;8,51;3,47;4,87;4,4542;8,07;3,29
CSRN3;COSERN;26,00;8,51;3,47;4,76;4,0493;7,50;3,06
CSRN6;COSERN;27,00;8,51;3,47;5,05;4,4542;7,78;3,17
